model,r2,rmse,mae
Linear Regression,0.007411697774408865,0.16937179620699241,0.13090689252716636
Random Forest,0.06362481365647044,0.1645058949553736,0.12931236984766625
Gradient Boosting,-0.01821120470290305,0.17154396851650042,0.1346767367720766
