character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate
richter,snake,11,7,18,0.6111111111111112
mii brawler,rob,8,5,13,0.6153846153846154
joker,piranha plant,4,5,9,0.4444444444444444
mii brawler,ness,6,2,8,0.75
donkeykong,snake,38,11,49,0.7755102040816326
kirby,young link,5,5,10,0.5
daisy,young link,5,4,9,0.5555555555555556
daisy,fox,6,3,9,0.6666666666666666
richter,samus,3,2,5,0.6
samus,snake,21,6,27,0.7777777777777778
donkeykong,toon link,16,8,24,0.6666666666666666
pokemon trainer,richter,7,4,11,0.6363636363636364
ken,toon link,12,4,16,0.75
pikachu,richter,3,4,7,0.42857142857142855
diddy kong,richter,4,5,9,0.4444444444444444
pichu,sheik,7,4,11,0.6363636363636364
kirby,villager,4,1,5,0.8
sheik,shulk,8,3,11,0.7272727272727273
cloud,piranha plant,8,3,11,0.7272727272727273
littlemac,sheik,7,1,8,0.875
fox,jigglypuff,5,2,7,0.7142857142857143
peach,toon link,11,8,19,0.5789473684210527
joker,mii brawler,2,3,5,0.4
peach,young link,9,1,10,0.9
joker,littlemac,3,5,8,0.375
mii brawler,peach,4,1,5,0.8
pokemon trainer,pyra mythra,11,8,19,0.5789473684210527
greninja,snake,15,8,23,0.6521739130434783
daisy,pyra mythra,6,4,10,0.6
diddy kong,greninja,10,11,21,0.47619047619047616
joker,metaknight,5,3,8,0.625
pikachu,toon link,13,8,21,0.6190476190476191
greninja,pyra mythra,10,7,17,0.5882352941176471
greninja,zero suit samus,9,12,21,0.42857142857142855
daisy,greninja,4,1,5,0.8
diddy kong,toon link,10,9,19,0.5263157894736842
pichu,pyra mythra,5,6,11,0.45454545454545453
duckhunt,sheik,2,3,5,0.4
lucario,young link,3,3,6,0.5
cloud,duckhunt,6,6,12,0.5
diddy kong,pichu,16,4,20,0.8
lucario,pyra mythra,8,5,13,0.6153846153846154
daisy,diddy kong,6,0,6,1.0
richter,sheik,4,1,5,0.8
daisy,joker,2,8,10,0.2
corrin,link,3,3,6,0.5
corrin,toon link,5,1,6,0.8333333333333334
ice climbers,villager,4,2,6,0.6666666666666666
diddy kong,mii brawler,4,3,7,0.5714285714285714
pokemon trainer,rob,36,21,57,0.631578947368421
diddy kong,shulk,5,6,11,0.45454545454545453
rosalina & luma,sonic,3,2,5,0.6
cloud,mii brawler,5,5,10,0.5
ice climbers,snake,5,4,9,0.5555555555555556
king dedede,pokemon trainer,19,9,28,0.6785714285714286
mario,sonic,6,1,7,0.8571428571428571
rosalina & luma,shulk,10,0,10,1.0
donkeykong,mii brawler,5,1,6,0.8333333333333334
pokemon trainer,sephiroth,5,2,7,0.7142857142857143
falco,sephiroth,5,2,7,0.7142857142857143
lucario,wario,5,3,8,0.625
ken,lucario,7,5,12,0.5833333333333334
chrom,zelda,6,3,9,0.6666666666666666
isabelle,ness,5,4,9,0.5555555555555556
mario,minmin,6,5,11,0.5454545454545454
lucario,mrgameandwatch,3,4,7,0.42857142857142855
captainfalcon,minmin,3,6,9,0.3333333333333333
jigglypuff,king dedede,1,5,6,0.16666666666666666
minmin,zelda,2,3,5,0.4
cloud,wario,9,4,13,0.6923076923076923
kirby,ness,8,8,16,0.5
pokemon trainer,sheik,11,7,18,0.6111111111111112
ike,isabelle,9,3,12,0.75
ike,toon link,8,10,18,0.4444444444444444
fox,sora,6,3,9,0.6666666666666666
diddy kong,littlemac,6,4,10,0.6
duckhunt,ike,11,4,15,0.7333333333333333
pikachu,robin,5,6,11,0.45454545454545453
ike,link,11,5,16,0.6875
king dedede,pyra mythra,8,3,11,0.7272727272727273
littlemac,pokemon trainer,6,3,9,0.6666666666666666
wii fit trainer,zero suit samus,10,3,13,0.7692307692307693
ice climbers,zero suit samus,3,2,5,0.6
ike,pikachu,8,4,12,0.6666666666666666
chrom,zero suit samus,12,8,20,0.6
ike,pokemon trainer,16,7,23,0.6956521739130435
chrom,snake,12,20,32,0.375
shulk,young link,9,6,15,0.6
ike,zero suit samus,10,10,20,0.5
link,mii brawler,4,2,6,0.6666666666666666
mrgameandwatch,wario,5,2,7,0.7142857142857143
mii brawler,palutena,13,8,21,0.6190476190476191
shulk,wario,1,4,5,0.2
falco,mii brawler,3,3,6,0.5
ike,rob,19,14,33,0.5757575757575758
isabelle,mario,5,2,7,0.7142857142857143
cloud,ike,11,9,20,0.55
donkeykong,mrgameandwatch,13,6,19,0.6842105263157895
isabelle,kirby,5,4,9,0.5555555555555556
donkeykong,ike,16,8,24,0.6666666666666666
pyra mythra,wii fit trainer,2,5,7,0.2857142857142857
ice climbers,pokemon trainer,7,2,9,0.7777777777777778
mrgameandwatch,sheik,8,6,14,0.5714285714285714
donkeykong,pikachu,14,11,25,0.56
king dedede,sheik,9,2,11,0.8181818181818182
bowser,sheik,7,5,12,0.5833333333333334
king dedede,wario,7,3,10,0.7
captainfalcon,rob,17,14,31,0.5483870967741935
ike,villager,7,1,8,0.875
ganondorf,pyra mythra,5,2,7,0.7142857142857143
ken,kirby,3,3,6,0.5
yoshi,zero suit samus,12,16,28,0.42857142857142855
mewtwo,sheik,3,2,5,0.6
minmin,shulk,1,4,5,0.2
mii brawler,zero suit samus,4,3,7,0.5714285714285714
ice climbers,sonic,2,3,5,0.4
link,shulk,10,5,15,0.6666666666666666
olimar,palutena,16,11,27,0.5925925925925926
ike,pyra mythra,9,5,14,0.6428571428571429
shulk,villager,6,5,11,0.5454545454545454
donkeykong,olimar,8,2,10,0.8
kirby,zero suit samus,6,2,8,0.75
fox,ike,9,4,13,0.6923076923076923
mii brawler,pikachu,7,5,12,0.5833333333333334
mii brawler,toon link,5,3,8,0.625
mewtwo,snake,8,1,9,0.8888888888888888
ice climbers,young link,5,0,5,1.0
donkeykong,kirby,9,3,12,0.75
link,rob,19,16,35,0.5428571428571428
mewtwo,wario,4,5,9,0.4444444444444444
megaman,shulk,5,4,9,0.5555555555555556
donkeykong,shulk,17,4,21,0.8095238095238095
villager,yoshi,5,9,14,0.35714285714285715
duckhunt,pyra mythra,3,4,7,0.42857142857142855
daisy,pokemon trainer,5,3,8,0.625
mewtwo,sora,5,0,5,1.0
kirby,mii brawler,3,2,5,0.6
littlemac,palutena,12,7,19,0.631578947368421
banjo & kazooie,diddy kong,5,1,6,0.8333333333333334
link,sora,4,1,5,0.8
king dedede,piranha plant,4,1,5,0.8
samus,villager,5,1,6,0.8333333333333334
kirby,mrgameandwatch,3,2,5,0.6
chrom,joker,16,5,21,0.7619047619047619
rosalina & luma,young link,2,4,6,0.3333333333333333
king dedede,lucario,4,1,5,0.8
fox,wii fit trainer,6,6,12,0.5
palutena,rosalina & luma,6,9,15,0.4
chrom,king dedede,6,4,10,0.6
chrom,mrgameandwatch,8,4,12,0.6666666666666666
mrgameandwatch,wii fit trainer,4,1,5,0.8
daisy,mrgameandwatch,3,2,5,0.6
bayonetta,villager,1,4,5,0.2
cloud,joker,27,14,41,0.6585365853658537
littlemac,marth,2,3,5,0.4
marth,zero suit samus,5,3,8,0.625
jigglypuff,wolf,7,5,12,0.5833333333333334
marth,rob,7,3,10,0.7
simon,zero suit samus,5,1,6,0.8333333333333334
pichu,shulk,8,5,13,0.6153846153846154
ice climbers,pacman,5,2,7,0.7142857142857143
pikachu,wolf,14,12,26,0.5384615384615384
pacman,ryu,4,4,8,0.5
minmin,pichu,3,2,5,0.6
olimar,wolf,11,4,15,0.7333333333333333
olimar,robin,4,2,6,0.6666666666666666
kirby,pacman,4,4,8,0.5
robin,shulk,8,5,13,0.6153846153846154
marth,pichu,4,1,5,0.8
dr. mario,zero suit samus,2,3,5,0.4
olimar,ryu,3,2,5,0.6
pacman,shulk,4,2,6,0.6666666666666666
dr. mario,pacman,4,4,8,0.5
pichu,wolf,13,8,21,0.6190476190476191
marth,ridley,5,2,7,0.7142857142857143
dr. mario,toon link,9,7,16,0.5625
kirby,samus,3,2,5,0.6
kirby,ridley,2,3,5,0.4
greninja,wii fit trainer,2,3,5,0.4
isabelle,samus,6,1,7,0.8571428571428571
minmin,wolf,7,11,18,0.3888888888888889
greninja,isabelle,4,4,8,0.5
falco,greninja,5,2,7,0.7142857142857143
megaman,ridley,8,5,13,0.6153846153846154
chrom,cloud,18,8,26,0.6923076923076923
dr. mario,pokemon trainer,4,2,6,0.6666666666666666
incineroar,rosalina & luma,5,3,8,0.625
chrom,duckhunt,6,3,9,0.6666666666666666
metaknight,roy,5,6,11,0.45454545454545453
greninja,ness,15,4,19,0.7894736842105263
duckhunt,joker,7,9,16,0.4375
mario,metaknight,8,2,10,0.8
megaman,young link,8,2,10,0.8
bowser,chrom,13,2,15,0.8666666666666667
donkeykong,metaknight,3,2,5,0.6
megaman,toon link,5,7,12,0.4166666666666667
megaman,samus,8,2,10,0.8
duckhunt,jigglypuff,4,1,5,0.8
